Team Number,Total Wins,Total Losses,Total Ties,Lifetime Win Rate,Lifetime Matches Played,Total Season Wins,Total Season Losses,Total Season Ties,Lifetime Season Win Rate,Total Season Matches Played,2019 Wins,2019 Losses,2019 Ties,2019 Win Rate,2019 Total Matches,2019 Season Wins,2019 Season Losses,2019 Season Ties,2019 Season Win Rate,2019 Season Total Matches,2018 Wins,2018 Losses,2018 Ties,2018 Win Rate,2018 Total Matches,2018 Season Wins,2018 Season Losses,2018 Season Ties,2018 Season Win Rate,2018 Season Total Matches,2017 Wins,2017 Losses,2017 Ties,2017 Win Rate,2017 Total Matches,2017 Season Wins,2017 Season Losses,2017 Season Ties,2017 Season Win Rate,2017 Season Total Matches,2016 Wins,2016 Losses,2016 Ties,2016 Win Rate,2016 Total Matches,2016 Season Wins,2016 Season Losses,2016 Season Ties,2016 Season Win Rate,2016 Season Total Matches,2015 Wins,2015 Losses,2015 Ties,2015 Win Rate,2015 Total Matches,2015 Season Wins,2015 Season Losses,2015 Season Ties,2015 Season Win Rate,2015 Season Total Matches,2014 Wins,2014 Losses,2014 Ties,2014 Win Rate,2014 Total Matches,2014 Season Wins,2014 Season Losses,2014 Season Ties,2014 Season Win Rate,2014 Season Total Matches,2013 Wins,2013 Losses,2013 Ties,2013 Win Rate,2013 Total Matches,2013 Season Wins,2013 Season Losses,2013 Season Ties,2013 Season Win Rate,2013 Season Total Matches,2012 Wins,2012 Losses,2012 Ties,2012 Win Rate,2012 Total Matches,2012 Season Wins,2012 Season Losses,2012 Season Ties,2012 Season Win Rate,2012 Season Total Matches,2011 Wins,2011 Losses,2011 Ties,2011 Win Rate,2011 Total Matches,2011 Season Wins,2011 Season Losses,2011 Season Ties,2011 Season Win Rate,2011 Season Total Matches,2010 Wins,2010 Losses,2010 Ties,2010 Win Rate,2010 Total Matches,2010 Season Wins,2010 Season Losses,2010 Season Ties,2010 Season Win Rate,2010 Season Total Matches,2009 Wins,2009 Losses,2009 Ties,2009 Win Rate,2009 Total Matches,2009 Season Wins,2009 Season Losses,2009 Season Ties,2009 Season Win Rate,2009 Season Total Matches,2008 Wins,2008 Losses,2008 Ties,2008 Win Rate,2008 Total Matches,2008 Season Wins,2008 Season Losses,2008 Season Ties,2008 Season Win Rate,2008 Season Total Matches,2007 Wins,2007 Losses,2007 Ties,2007 Win Rate,2007 Total Matches,2007 Season Wins,2007 Season Losses,2007 Season Ties,2007 Season Win Rate,2007 Season Total Matches,2006 Wins,2006 Losses,2006 Ties,2006 Win Rate,2006 Total Matches,2006 Season Wins,2006 Season Losses,2006 Season Ties,2006 Season Win Rate,2006 Season Total Matches,2005 Wins,2005 Losses,2005 Ties,2005 Win Rate,2005 Total Matches,2005 Season Wins,2005 Season Losses,2005 Season Ties,2005 Season Win Rate,2005 Season Total Matches,2004 Wins,2004 Losses,2004 Ties,2004 Win Rate,2004 Total Matches,2004 Season Wins,2004 Season Losses,2004 Season Ties,2004 Season Win Rate,2004 Season Total Matches,2003 Wins,2003 Losses,2003 Ties,2003 Win Rate,2003 Total Matches,2003 Season Wins,2003 Season Losses,2003 Season Ties,2003 Season Win Rate,2003 Season Total Matches
596,44,65,3,40.37%,112,34,51,42,40.00%,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,33.33%,9,3,6,0,33.33%,9,3,10,1,23.08%,14,3,10,1,23.08%,14,10,20,0,33.33%,30,7,14,0,33.33%,21,16,20,2,44.44%,38,9,12,2,42.86%,23,12,9,0,57.14%,21,12,9,0,57.14%,21
597,266,257,15,50.86%,538,246,232,228,51.46%,492,21,15,1,58.33%,37,21,15,1,58.33%,37,33,20,0,62.26%,53,26,13,0,66.67%,39,22,21,2,51.16%,45,17,15,1,53.13%,33,15,22,0,40.54%,37,15,22,0,40.54%,37,28,30,0,48.28%,58,22,25,0,46.81%,47,25,22,1,53.19%,48,23,15,1,60.53%,39,12,15,0,44.44%,27,12,15,0,44.44%,27,14,15,0,48.28%,29,14,15,0,48.28%,29,14,14,2,50.00%,30,14,14,2,50.00%,30,12,14,4,46.15%,30,12,14,4,46.15%,30,20,8,0,71.43%,28,20,8,0,71.43%,28,13,15,1,46.43%,29,13,15,1,46.43%,29,12,19,1,38.71%,32,12,19,1,38.71%,32,19,15,0,55.88%,34,19,15,0,55.88%,34,1,6,0,14.29%,7,1,6,0,14.29%,7,2,2,3,50.00%,7,2,2,3,50.00%,7,3,4,0,42.86%,7,3,4,0,42.86%,7
598,10,14,0,41.67%,24,10,14,4,41.67%,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,5,4,0,55.56%,9,5,4,0,55.56%,9,5,10,0,33.33%,15,5,10,0,33.33%,15
599,275,250,6,52.38%,531,250,207,194,54.70%,463,22,12,0,64.71%,34,22,12,0,64.71%,34,17,23,0,42.50%,40,10,16,0,38.46%,26,32,25,1,56.14%,58,26,16,1,61.90%,43,9,17,0,34.62%,26,9,11,0,45.00%,20,14,31,1,31.11%,46,10,17,1,37.04%,28,30,22,0,57.69%,52,22,15,0,59.46%,37,16,12,0,57.14%,28,16,12,0,57.14%,28,17,11,0,60.71%,28,17,11,0,60.71%,28,18,17,1,51.43%,36,18,17,1,51.43%,36,14,10,1,58.33%,25,14,10,1,58.33%,25,10,9,0,52.63%,19,10,9,0,52.63%,19,13,17,1,43.33%,31,13,17,1,43.33%,31,7,14,0,33.33%,21,7,14,0,33.33%,21,21,7,1,75.00%,29,21,7,1,75.00%,29,0,0,0,,0,0,0,0,,0,14,10,0,58.33%,24,14,10,0,58.33%,24,21,13,0,61.76%,34,21,13,0,61.76%,34
600,9,23,5,28.13%,37,9,23,20,28.13%,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,25.00%,8,2,6,0,25.00%,8,2,5,1,28.57%,8,2,5,1,28.57%,8,1,6,1,14.29%,8,1,6,1,14.29%,8,0,0,0,,0,0,0,0,,0,2,2,2,50.00%,6,2,2,2,50.00%,6,2,4,1,33.33%,7,2,4,1,33.33%,7
601,36,47,0,43.37%,83,36,47,47,43.37%,83,2,8,0,20.00%,10,2,8,0,20.00%,10,8,6,0,57.14%,14,8,6,0,57.14%,14,6,6,0,50.00%,12,6,6,0,50.00%,12,6,4,0,60.00%,10,6,4,0,60.00%,10,8,8,0,50.00%,16,8,8,0,50.00%,16,1,10,0,9.09%,11,1,10,0,9.09%,11,5,5,0,50.00%,10,5,5,0,50.00%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,11,16,0,40.74%,27,11,16,11,40.74%,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,63.64%,11,7,4,0,63.64%,11,0,0,0,,0,0,0,0,,0,2,7,0,22.22%,9,2,7,0,22.22%,9,2,5,0,28.57%,7,2,5,0,28.57%,7
603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,380,272,12,58.28%,664,300,193,187,60.85%,502,33,13,0,71.74%,46,33,13,0,71.74%,46,31,21,0,59.62%,52,28,14,0,66.67%,42,50,17,1,74.63%,68,43,9,1,82.69%,53,26,23,0,53.06%,49,17,16,0,51.52%,33,28,34,0,45.16%,62,14,16,0,46.67%,30,28,24,0,53.85%,52,25,15,0,62.50%,40,29,31,2,48.33%,62,17,19,1,47.22%,37,22,22,1,50.00%,45,16,16,1,50.00%,33,22,22,2,50.00%,46,16,11,2,59.26%,29,31,12,3,72.09%,46,31,12,3,72.09%,46,26,14,1,65.00%,41,16,14,0,53.33%,30,20,11,2,64.52%,33,10,10,1,50.00%,21,7,6,0,53.85%,13,7,6,0,53.85%,13,14,12,0,53.85%,26,14,12,0,53.85%,26,9,4,0,69.23%,13,9,4,0,69.23%,13,0,0,0,0,0,0,0,0,0,0,4,6,0,40.00%,10,4,6,0,40.00%,10
605,8,9,0,47.06%,17,8,9,5,47.06%,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,37.50%,8,3,5,0,37.50%,8,5,4,0,55.56%,9,5,4,0,55.56%,9
606,78,100,4,43.82%,182,78,100,86,43.82%,182,3,6,0,33.33%,9,3,6,0,33.33%,9,2,7,0,22.22%,9,2,7,0,22.22%,9,1,8,0,11.11%,9,1,8,0,11.11%,9,5,3,0,62.50%,8,5,3,0,62.50%,8,6,3,0,66.67%,9,6,3,0,66.67%,9,5,5,0,50.00%,10,5,5,0,50.00%,10,1,7,0,12.50%,8,1,7,0,12.50%,8,3,6,0,33.33%,9,3,6,0,33.33%,9,3,4,3,42.86%,10,3,4,3,42.86%,10,4,6,0,40.00%,10,4,6,0,40.00%,10,3,3,1,50.00%,7,3,3,1,50.00%,7,4,5,0,44.44%,9,4,5,0,44.44%,9,6,5,0,54.55%,11,6,5,0,54.55%,11,8,4,0,66.67%,12,8,4,0,66.67%,12,0,0,0,,0,0,0,0,,0,9,14,0,39.13%,23,9,14,0,39.13%,23,15,14,0,51.72%,29,15,14,0,51.72%,29
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,526,233,11,69.30%,770,475,212,208,69.14%,697,43,22,1,66.15%,66,43,22,1,66.15%,66,61,19,0,76.25%,80,52,14,0,78.79%,66,57,23,0,71.25%,80,52,18,0,74.29%,70,32,17,1,65.31%,50,32,17,1,65.31%,50,35,12,1,74.47%,48,35,12,1,74.47%,48,49,14,0,77.78%,63,37,12,0,75.51%,49,55,15,0,78.57%,70,46,11,0,80.70%,57,42,12,0,77.78%,54,36,10,0,78.26%,46,43,20,2,68.25%,65,33,17,1,66.00%,51,16,11,2,59.26%,29,16,11,2,59.26%,29,16,7,0,69.57%,23,16,7,0,69.57%,23,12,14,0,46.15%,26,12,14,0,46.15%,26,21,15,3,58.33%,39,21,15,3,58.33%,39,20,12,0,62.50%,32,20,12,0,62.50%,32,0,7,1,0.00%,8,0,7,1,0.00%,8,12,9,0,57.14%,21,12,9,0,57.14%,21,12,4,0,75.00%,16,12,4,0,75.00%,16
611,136,189,9,41.85%,334,132,185,181,41.64%,326,10,17,2,37.04%,29,10,17,2,37.04%,29,31,31,1,50.00%,63,27,27,1,50.00%,55,13,13,0,50.00%,26,13,13,0,50.00%,26,8,16,0,33.33%,24,8,16,0,33.33%,24,1,16,2,5.88%,19,1,16,2,5.88%,19,7,12,1,36.84%,20,7,12,1,36.84%,20,11,10,0,52.38%,21,11,10,0,52.38%,21,8,10,0,44.44%,18,8,10,0,44.44%,18,8,11,0,42.11%,19,8,11,0,42.11%,19,11,11,2,50.00%,24,11,11,2,50.00%,24,3,4,0,42.86%,7,3,4,0,42.86%,7,3,7,0,30.00%,10,3,7,0,30.00%,10,6,18,1,25.00%,25,6,18,1,25.00%,25,10,6,0,62.50%,16,10,6,0,62.50%,16,0,0,0,,0,0,0,0,,0,3,3,0,50.00%,6,3,3,0,50.00%,6,3,4,0,42.86%,7,3,4,0,42.86%,7
612,283,240,15,54.11%,538,275,226,223,54.89%,516,35,15,3,70.00%,53,35,15,3,70.00%,53,45,32,0,58.44%,77,39,24,0,61.90%,63,23,24,2,48.94%,49,23,24,2,48.94%,49,19,21,0,47.50%,40,19,21,0,47.50%,40,13,19,1,40.63%,33,13,19,1,40.63%,33,14,19,0,42.42%,33,14,19,0,42.42%,33,18,6,0,75.00%,24,18,6,0,75.00%,24,9,11,2,45.00%,22,9,11,2,45.00%,22,9,11,1,45.00%,21,9,11,1,45.00%,21,14,15,5,48.28%,34,14,15,5,48.28%,34,23,9,0,71.88%,32,23,9,0,71.88%,32,18,22,0,45.00%,40,16,16,0,50.00%,32,20,15,0,57.14%,35,20,15,0,57.14%,35,10,13,0,43.48%,23,10,13,0,43.48%,23,4,3,0,57.14%,7,4,3,0,57.14%,7,3,2,1,60.00%,6,3,2,1,60.00%,6,6,3,0,66.67%,9,6,3,0,66.67%,9
613,88,120,6,42.31%,214,84,113,107,42.64%,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,41.38%,29,12,17,0,41.38%,29,9,15,0,37.50%,24,9,15,0,37.50%,24,10,14,0,41.67%,24,10,14,0,41.67%,24,14,21,0,40.00%,35,10,14,0,41.67%,24,6,17,2,26.09%,25,6,17,2,26.09%,25,4,5,0,44.44%,9,4,5,0,44.44%,9,5,3,1,62.50%,9,5,3,1,62.50%,9,4,3,0,57.14%,7,4,3,0,57.14%,7,5,3,0,62.50%,8,5,3,0,62.50%,8,5,3,1,62.50%,9,5,3,1,62.50%,9,4,4,0,50.00%,8,4,4,0,50.00%,8,4,4,1,50.00%,9,4,4,1,50.00%,9,4,4,0,50.00%,8,4,4,0,50.00%,8,2,7,1,22.22%,10,2,7,1,22.22%,10
614,215,186,19,53.62%,420,203,183,176,52.59%,405,50,23,5,68.49%,78,50,23,5,68.49%,78,43,30,0,58.90%,73,36,27,0,57.14%,63,17,16,1,51.52%,34,12,16,1,42.86%,29,9,15,0,37.50%,24,9,15,0,37.50%,24,9,6,1,60.00%,16,9,6,1,60.00%,16,11,10,1,52.38%,22,11,10,1,52.38%,22,1,7,0,12.50%,8,1,7,0,12.50%,8,6,11,2,35.29%,19,6,11,2,35.29%,19,5,4,1,55.56%,10,5,4,1,55.56%,10,9,10,3,47.37%,22,9,10,3,47.37%,22,4,10,0,28.57%,14,4,10,0,28.57%,14,11,7,0,61.11%,18,11,7,0,61.11%,18,6,9,2,40.00%,17,6,9,2,40.00%,17,12,9,0,57.14%,21,12,9,0,57.14%,21,4,3,0,57.14%,7,4,3,0,57.14%,7,8,9,3,47.06%,20,8,9,3,47.06%,20,10,7,0,58.82%,17,10,7,0,58.82%,17
615,23,51,3,31.08%,77,23,51,47,31.08%,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,36.36%,12,4,7,1,36.36%,12,0,0,0,0,0,0,0,0,0,0,3,6,0,33.33%,9,3,6,0,33.33%,9,2,8,0,20.00%,10,2,8,0,20.00%,10,2,6,0,25.00%,8,2,6,0,25.00%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,42.86%,7,3,4,0,42.86%,7,2,6,0,25.00%,8,2,6,0,25.00%,8,1,5,2,16.67%,8,1,5,2,16.67%,8,3,5,0,37.50%,8,3,5,0,37.50%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,42.86%,7,3,4,0,42.86%,7
616,14,9,0,60.87%,23,14,9,5,60.87%,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,55.56%,9,5,4,0,55.56%,9,5,1,0,83.33%,6,5,1,0,83.33%,6,4,4,0,50.00%,8,4,4,0,50.00%,8
617,78,125,2,38.42%,205,78,125,123,38.42%,205,6,18,0,25.00%,24,6,18,0,25.00%,24,7,17,0,29.17%,24,7,17,0,29.17%,24,12,14,0,46.15%,26,12,14,0,46.15%,26,6,18,0,25.00%,24,6,18,0,25.00%,24,3,5,0,37.50%,8,3,5,0,37.50%,8,3,6,0,33.33%,9,3,6,0,33.33%,9,1,7,0,12.50%,8,1,7,0,12.50%,8,5,5,0,50.00%,10,5,5,0,50.00%,10,1,7,1,12.50%,9,1,7,1,12.50%,9,11,6,0,64.71%,17,11,6,0,64.71%,17,6,3,0,66.67%,9,6,3,0,66.67%,9,3,5,0,37.50%,8,3,5,0,37.50%,8,5,3,0,62.50%,8,5,3,0,62.50%,8,2,6,0,25.00%,8,2,6,0,25.00%,8,0,0,0,,0,0,0,0,,0,2,3,1,40.00%,6,2,3,1,40.00%,6,5,2,0,71.43%,7,5,2,0,71.43%,7
618,27,51,2,34.62%,80,27,51,43,34.62%,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,1,27.78%,19,5,13,1,27.78%,19,1,10,0,9.09%,11,1,10,0,9.09%,11,6,12,0,33.33%,18,6,12,0,33.33%,18,2,7,0,22.22%,9,2,7,0,22.22%,9,13,9,1,59.09%,23,13,9,1,59.09%,23
619,153,168,7,47.66%,328,139,156,152,47.12%,302,41,25,1,62.12%,67,41,25,1,62.12%,67,14,20,0,41.18%,34,12,14,0,46.15%,26,36,29,2,55.38%,67,27,26,2,50.94%,55,14,19,1,42.42%,34,11,16,1,40.74%,28,2,6,0,25.00%,8,2,6,0,25.00%,8,2,7,0,22.22%,9,2,7,0,22.22%,9,6,10,0,37.50%,16,6,10,0,37.50%,16,9,10,1,47.37%,20,9,10,1,47.37%,20,7,3,0,70.00%,10,7,3,0,70.00%,10,3,4,2,42.86%,9,3,4,2,42.86%,9,2,5,0,28.57%,7,2,5,0,28.57%,7,2,7,0,22.22%,9,2,7,0,22.22%,9,4,13,0,23.53%,17,4,13,0,23.53%,17,3,5,0,37.50%,8,3,5,0,37.50%,8,0,0,0,,0,0,0,0,,0,5,1,0,83.33%,6,5,1,0,83.33%,6,3,4,0,42.86%,7,3,4,0,42.86%,7
620,189,196,6,49.09%,391,184,182,179,50.27%,372,15,16,1,48.39%,32,15,16,1,48.39%,32,22,25,0,46.81%,47,20,21,0,48.78%,41,28,27,2,50.91%,57,26,22,2,54.17%,50,9,21,0,30.00%,30,8,16,0,33.33%,24,8,14,0,36.36%,22,8,14,0,36.36%,22,10,12,0,45.45%,22,10,12,0,45.45%,22,19,18,0,51.35%,37,19,18,0,51.35%,37,16,11,0,59.26%,27,16,11,0,59.26%,27,10,9,0,52.63%,19,10,9,0,52.63%,19,8,11,3,42.11%,22,8,11,3,42.11%,22,19,13,0,59.38%,32,19,13,0,59.38%,32,4,4,0,50.00%,8,4,4,0,50.00%,8,9,4,0,69.23%,13,9,4,0,69.23%,13,3,5,0,37.50%,8,3,5,0,37.50%,8,0,0,0,,0,0,0,0,,0,3,3,0,50.00%,6,3,3,0,50.00%,6,6,3,0,66.67%,9,6,3,0,66.67%,9
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,243,169,10,58.98%,422,208,159,157,56.68%,377,9,13,2,40.91%,24,9,13,2,40.91%,24,51,28,0,64.56%,79,34,23,0,59.65%,57,37,28,2,56.92%,67,23,25,2,47.92%,50,41,23,2,64.06%,66,37,21,2,63.79%,60,17,11,0,60.71%,28,17,11,0,60.71%,28,18,18,1,50.00%,37,18,18,1,50.00%,37,11,9,0,55.00%,20,11,9,0,55.00%,20,12,5,1,70.59%,18,12,5,1,70.59%,18,12,9,0,57.14%,21,12,9,0,57.14%,21,4,3,2,57.14%,9,4,3,2,57.14%,9,4,3,0,57.14%,7,4,3,0,57.14%,7,4,4,0,50.00%,8,4,4,0,50.00%,8,10,5,0,66.67%,15,10,5,0,66.67%,15,2,6,0,25.00%,8,2,6,0,25.00%,8,0,0,0,,0,0,0,0,,0,4,2,0,66.67%,6,4,2,0,66.67%,6,7,2,0,77.78%,9,7,2,0,77.78%,9
624,650,341,17,65.59%,1008,474,235,220,66.85%,725,57,30,2,65.52%,89,51,25,2,67.11%,78,75,27,0,73.53%,102,51,14,0,78.46%,65,54,55,2,49.54%,111,34,26,1,56.67%,61,57,37,0,60.64%,94,28,17,0,62.22%,45,82,23,2,78.10%,107,49,13,2,79.03%,64,75,23,0,76.53%,98,42,14,0,75.00%,56,50,26,0,65.79%,76,29,10,0,74.36%,39,47,14,0,77.05%,61,37,10,0,78.72%,47,33,9,0,78.57%,42,33,9,0,78.57%,42,29,15,5,65.91%,49,29,15,5,65.91%,49,29,11,2,72.50%,42,29,11,2,72.50%,42,9,13,1,40.91%,23,9,13,1,40.91%,23,9,7,1,56.25%,17,9,7,1,56.25%,17,9,12,0,42.86%,21,9,12,0,42.86%,21,12,10,0,54.55%,22,12,10,0,54.55%,22,6,13,1,31.58%,20,6,13,1,31.58%,20,17,16,1,51.52%,34,17,16,1,51.52%,34
